CROPS,TYPE_OF_CROP,SOIL,SOIL_PH_LOW,SOIL_PH_HIGH,CROPDURATION_MIN,CROPDURATION_MAX,MIN_TEMP,MAX_TEMP,TYPE_OF _WATERSOURCE,WATER REQUIRED_MIN,WATERREQUIRED_MAX,RELATIVE_HUMIDITY_MIN,RELATIVE_HUMIDITY_MAX,DISTRICT WISE CROP AVAILABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ARIYALUR
","CAUVERY
","CHENGLEPUT
","COIMBATORE
","CUDDALORE
","DHARMAPURI
","DINDIGUL
","ERODE
","HILLY REGIONS OF SHEVROY
","JAWAD HILLS
","KANCHEEPURAM
","KANYAKUMARI
","KARUR
","KOLLI HILLS
","KRISHNAGIRI
","MADURAI
","NAGAPATTINAM
","NAMAKAL
","PERAMBALUR
","PUDUKKOTTAI
","RAMANATHANPURAM
","SALEM
","SIVAGANGAI
","TANJORE
","THALAVADI HILLS
","THE NILGRIS
","THENI
","THIRUCHIRAPALLI
","THIRUNELVELI
","THIRUPPUR
","THIRUVALLUR
","THIRUVANNAMALAI
","THOOTHUKUDI
","TIRUVARUR
","VELLORE
","VILLUPURAM
","VIRUDHUNAGAR
"
rice,cereals,Alluvia or loamy and clayey soil,5.00,8.00,150.00,150.00,20.00,40.00,both,900,2500,60,80,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
wheat,cereals,Well Drained,6.00,7.00,80.00,90.00,21.00,24.00,both,450,650,50,60,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
maize,millets,temperate podzols to the leached red soils of the tropics. ,5.50,7.00,105.00,110.00,18.00,27.00,both,500,800,60,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
sorghum,millets,well-drained loamy soils,6.00,7.50,95.00,105.00,15.00,40.00,both,450,650,90,100,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.50,7.50,75.00,85.00,12.00,45.00,both,350,500,80,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.00,8.20,100.00,120.00,11.00,27.00,both,700,1200,15,20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
panivaragu,millets,sandy loam to clays of black cotton soils,5.50,7.00,70.00,75.00,10.00,45.00,both,330,350,15,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
samai,millets,Loamy Soil,8.50,9.00,80.00,100.00,26.00,40.00,both,480,750,15,20,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
thinai,millets,"alluvial,loamy ",5.50,7.00,85.00,90.00,20.00,29.00,both,500,900,15,20,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0
varagu,millets,clay-based soil,5.50,6.50,120.00,120.00,25.00,27.00,rainfed,500,900,15,20,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0
kudiraivali,millets,Loamy Soil,5.50,7.00,75.00,95.00,20.00,20.00,rainfed,500,900,15,20,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
blackgram,pulses,sandy soils to heavy cotton soils,6.50,7.80,70.00,75.00,20.00,42.00,both,600,1000,17,18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
greengram,pulses,well-drained sandy loams or sandy soils ,6.50,7.50,100.00,100.00,25.00,35.00,both,850,1000,60,70,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
cowpea,pulses, well-drained sandy loams or sandy soils ,5.00,6.50,60.00,90.00,20.00,30.00,both,400,700,50,55,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
gardenlablab,pulses,wide range of soils,6.00,7.00,75.00,100.00,18.00,35.00,irrigated,650,1000,60,70,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
fieldlablab,pulses,Well drained loamy soil,6.20,7.00,105.00,105.00,18.00,30.00,both,650,1000,60,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
bengalgram,pulses,medium to heavy black soil,5.50,7.00,90.00,120.00,20.00,30.00,both,650,1000,60,60,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1
horsegram,pulses, light to heavy soils ,6.00,7.50,100.00,105.00,25.00,40.00,rainfed,800,800,50,80,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
redgram,pulses,deep loam soils,6.50,7.00,120.00,150.00,18.00,30.00,rainfed,600,1400,76,81,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
soyabean,pulses,"Well-drained, Loamy Soil",6.00,7.00,90.00,100.00,15.00,32.00,both,450,700,70,92,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
swordbean,pulses, well-drained sandy loams or sandy soils ,5.00,6.00,110.00,120.00,12.00,36.00,both,900,1500,95,100,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.50,7.00,140.00,150.00,11.00,47.00,both,500,700,65,65,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.50,8.00,85.00,95.00,20.00,25.00,both,350,500,80,98,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.50,8.00,85.00,90.00,25.00,35.00,both,350,400,80,100,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
niger,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.20,7.30,80.00,80.00,13.00,23.00,rainfed,1000,1300,80,100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
safflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.40,8.20,120.00,125.00,22.00,35.00,irrigated,550,725,80,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.00,8.50,120.00,160.00,22.00,26.00,both,500,500,80,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.00,8.00,135.00,140.00,21.00,30.00,both,700,1300,70,90,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1
jute,fibre crop,Sandy and Clay Loam,6.00,7.50,120.00,140.00,24.00,38.00,both,1000,1300,70,90,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,6.50,8.00,300.00,330.00,21.00,27.00,irrigated,1500,2500,65,80,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
sweet sorghum,sugar crops,Well drained sandy loam and clayey loam soils ,6.00,8.50,115.00,125.00,26.00,30.00,both,500,600,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.00,8.00,150.00,180.00,15.00,25.00,irrigated,600,800,65,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fodder cholam,forage crops,Well drained sandy loam and clayey loam soils ,5.50,7.50,1095.00,1095.00,25.00,35.00,both,300,350,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4.00,7.50,45.00,120.00,25.00,35.00,both,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.50,8.00,60.00,70.00,8.00,45.00,irrigated,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.00,8.60,45.00,55.00,20.00,25.00,irrigated,800,1000,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.00,7.00,45.00,55.00,15.00,38.00,both,1000,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,7.00,7.50,45.00,55.00,20.00,30.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.50,7.50,45.00,55.00,25.00,35.00,irrigated,300,350,65,80,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
velimasal,forage crops,Well drained sandy loam and clayey loam soils ,5.80,7.00,45.00,55.00,25.00,35.00,both,300,350,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fodder cowpea,forage crops,Well drained sandy loam and clayey loam soils ,5.00,6.50,50.00,65.00,20.00,30.00,irrigated,300,350,65,80,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
muyal masal,forage crops,Well drained sandy loam and clayey loam soils ,5.50,7.50,75.00,65.00,25.00,35.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.50,7.50,40.00,80.00,20.00,35.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tobacco,other crops,Well drained sandy loam and clayey loam soils ,7.50,8.50,90.00,100.00,26.00,32.00,both,800,1000,70,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tomato,vegetables,Sandy loam,6.50,7.50,90.00,140.00,18.00,30.00,both,600,800,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onion,vegetables, Any Loamy,5.80,6.50,100.00,120.00,20.00,25.00,both,350,550,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chillies,vegetables,Loamy soil/ Lateritic soil,6.00,6.80,120.00,120.00,23.00,30.00,both,500,500,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
